Część;Dział;Rozdział;Treść;Plan;id;parent;label;super_label;Treść_część;Treść_dział;per_capita;percapita_super_label
05;;;NACZELNY SĄD ADMINISTRACYJNY;703563;05;total;703.6 MLN;NACZELNY SĄD ADMINISTRACYJNY 703.6 MLN;NACZELNY SĄD ADMINISTRACYJNY;NACZELNY SĄD ADMINISTRACYJNY;18;NACZELNY SĄD ADMINISTRACYJNY 18 zł
05;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;605114;05-751;05;605.1 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 605.1 MLN;NACZELNY SĄD ADMINISTRACYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;16;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 16 zł
05;751;75102;Naczelne organy sądownictwa;605114;05-751-75102;05-751;605.1 MLN;Naczelne organy sądownictwa 605.1 MLN;NACZELNY SĄD ADMINISTRACYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;16;Naczelne organy sądownictwa 16 zł
05;753;;Obowiązkowe ubezpieczenia społeczne;98449;05-753;05;98.4 MLN;Obowiązkowe ubezpieczenia społeczne 98.4 MLN;NACZELNY SĄD ADMINISTRACYJNY;Obowiązkowe ubezpieczenia społeczne;2;Obowiązkowe ubezpieczenia społeczne 2 zł
05;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;98449;05-753-75312;05-753;98.4 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 98.4 MLN;NACZELNY SĄD ADMINISTRACYJNY;Obowiązkowe ubezpieczenia społeczne;2;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 2 zł
06;;;TRYBUNAŁ KONSTYTUCYJNY;48659;06;total;48.7 MLN;TRYBUNAŁ KONSTYTUCYJNY 48.7 MLN;TRYBUNAŁ KONSTYTUCYJNY;TRYBUNAŁ KONSTYTUCYJNY;1;TRYBUNAŁ KONSTYTUCYJNY 1 zł
06;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;37439;06-751;06;37.4 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 37.4 MLN;TRYBUNAŁ KONSTYTUCYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 0 zł
06;751;75102;Naczelne organy sądownictwa;37439;06-751-75102;06-751;37.4 MLN;Naczelne organy sądownictwa 37.4 MLN;TRYBUNAŁ KONSTYTUCYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Naczelne organy sądownictwa 0 zł
06;753;;Obowiązkowe ubezpieczenia społeczne;11220;06-753;06;11.2 MLN;Obowiązkowe ubezpieczenia społeczne 11.2 MLN;TRYBUNAŁ KONSTYTUCYJNY;Obowiązkowe ubezpieczenia społeczne;0;Obowiązkowe ubezpieczenia społeczne 0 zł
06;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;11220;06-753-75312;06-753;11.2 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 11.2 MLN;TRYBUNAŁ KONSTYTUCYJNY;Obowiązkowe ubezpieczenia społeczne;0;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 0 zł
07;;;NAJWYŻSZA IZBA KONTROLI;364346;07;total;364.3 MLN;NAJWYŻSZA IZBA KONTROLI 364.3 MLN;NAJWYŻSZA IZBA KONTROLI;NAJWYŻSZA IZBA KONTROLI;9;NAJWYŻSZA IZBA KONTROLI 9 zł
07;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;364346;07-751;07;364.3 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 364.3 MLN;NAJWYŻSZA IZBA KONTROLI;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;9;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 9 zł
07;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;364346;07-751-75101;07-751;364.3 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 364.3 MLN;NAJWYŻSZA IZBA KONTROLI;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;9;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 9 zł
08;;;RZECZNIK PRAW OBYWATELSKICH;68624;08;total;68.6 MLN;RZECZNIK PRAW OBYWATELSKICH 68.6 MLN;RZECZNIK PRAW OBYWATELSKICH;RZECZNIK PRAW OBYWATELSKICH;1;RZECZNIK PRAW OBYWATELSKICH 1 zł
08;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;68624;08-751;08;68.6 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 68.6 MLN;RZECZNIK PRAW OBYWATELSKICH;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;1;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 1 zł
08;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;68624;08-751-75101;08-751;68.6 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 68.6 MLN;RZECZNIK PRAW OBYWATELSKICH;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;1;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 1 zł
09;;;KRAJOWA RADA RADIOFONII I TELEWIZJI;83094;09;total;83.1 MLN;KRAJOWA RADA RADIOFONII I TELEWIZJI 83.1 MLN;KRAJOWA RADA RADIOFONII I TELEWIZJI;KRAJOWA RADA RADIOFONII I TELEWIZJI;2;KRAJOWA RADA RADIOFONII I TELEWIZJI 2 zł
09;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;83094;09-751;09;83.1 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 83.1 MLN;KRAJOWA RADA RADIOFONII I TELEWIZJI;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 2 zł
09;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;83094;09-751-75101;09-751;83.1 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 83.1 MLN;KRAJOWA RADA RADIOFONII I TELEWIZJI;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 2 zł
10;;;URZĄD OCHRONY DANYCH OSOBOWYCH;44956;10;total;45.0 MLN;URZĄD OCHRONY DANYCH OSOBOWYCH 45.0 MLN;URZĄD OCHRONY DANYCH OSOBOWYCH;URZĄD OCHRONY DANYCH OSOBOWYCH;1;URZĄD OCHRONY DANYCH OSOBOWYCH 1 zł
10;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;44956;10-751;10;45.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 45.0 MLN;URZĄD OCHRONY DANYCH OSOBOWYCH;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;1;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 1 zł
10;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;44956;10-751-75101;10-751;45.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 45.0 MLN;URZĄD OCHRONY DANYCH OSOBOWYCH;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;1;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 1 zł
11;;;KRAJOWE BIURO WYBORCZE;91902;11;total;91.9 MLN;KRAJOWE BIURO WYBORCZE 91.9 MLN;KRAJOWE BIURO WYBORCZE;KRAJOWE BIURO WYBORCZE;2;KRAJOWE BIURO WYBORCZE 2 zł
11;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;91902;11-751;11;91.9 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 91.9 MLN;KRAJOWE BIURO WYBORCZE;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 2 zł
11;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;91902;11-751-75101;11-751;91.9 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 91.9 MLN;KRAJOWE BIURO WYBORCZE;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;2;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 2 zł
12;;;PAŃSTWOWA INSPEKCJA PRACY;453433;12;total;453.4 MLN;PAŃSTWOWA INSPEKCJA PRACY 453.4 MLN;PAŃSTWOWA INSPEKCJA PRACY;PAŃSTWOWA INSPEKCJA PRACY;12;PAŃSTWOWA INSPEKCJA PRACY 12 zł
12;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;453433;12-751;12;453.4 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 453.4 MLN;PAŃSTWOWA INSPEKCJA PRACY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;12;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 12 zł
12;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;453433;12-751-75101;12-751;453.4 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 453.4 MLN;PAŃSTWOWA INSPEKCJA PRACY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;12;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 12 zł
13;;;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;535613;13;total;535.6 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU 535.6 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;14;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU 14 zł
13;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;479559;13-751;13;479.6 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 479.6 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;12;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 12 zł
13;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;248149;13-751-75101;13-751;248.1 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 248.1 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;6;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 6 zł
13;751;75112;Jednostki podległe Instytutowi Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu;231410;13-751-75112;13-751;231.4 MLN;Jednostki podległe Instytutowi Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu 231.4 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;6;Jednostki podległe Instytutowi Pamięci Narodowej - Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu 6 zł
13;753;;Obowiązkowe ubezpieczenia społeczne;9885;13-753;13;9.9 MLN;Obowiązkowe ubezpieczenia społeczne 9.9 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Obowiązkowe ubezpieczenia społeczne;0;Obowiązkowe ubezpieczenia społeczne 0 zł
13;753;75302;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne;9885;13-753-75302;13-753;9.9 MLN;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne 9.9 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Obowiązkowe ubezpieczenia społeczne;0;Uposażenia prokuratorów w stanie spoczynku oraz uposażenia rodzinne 0 zł
13;921;;Kultura i ochrona dziedzictwa narodowego;46169;13-921;13;46.2 MLN;Kultura i ochrona dziedzictwa narodowego 46.2 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Kultura i ochrona dziedzictwa narodowego;1;Kultura i ochrona dziedzictwa narodowego 1 zł
13;921;92118;Muzea;19810;13-921-92118;13-921;19.8 MLN;Muzea 19.8 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Kultura i ochrona dziedzictwa narodowego;0;Muzea 0 zł
13;921;92127;Działalność dotycząca miejsc pamięci narodowej oraz ochrony pamięci walk i męczeństwa;14212;13-921-92127;13-921;14.2 MLN;Działalność dotycząca miejsc pamięci narodowej oraz ochrony pamięci walk i męczeństwa 14.2 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Kultura i ochrona dziedzictwa narodowego;0;Działalność dotycząca miejsc pamięci narodowej oraz ochrony pamięci walk i męczeństwa 0 zł
13;921;92128;Działalność dotycząca miejsc pamięci narodowej oraz ochrony pamięci walk i męczeństwa realizowana przez jednostki podległe Instytutowi Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu;12147;13-921-92128;13-921;12.1 MLN;Działalność dotycząca miejsc pamięci narodowej oraz ochrony pamięci walk i męczeństwa realizowana przez jednostki podległe Instytutowi Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu 12.1 MLN;INSTYTUT PAMIĘCI NARODOWEJ – KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU;Kultura i ochrona dziedzictwa narodowego;0;Działalność dotycząca miejsc pamięci narodowej oraz ochrony pamięci walk i męczeństwa realizowana przez jednostki podległe Instytutowi Pamięci Narodowej – Komisji Ścigania Zbrodni przeciwko Narodowi Polskiemu 0 zł
14;;;RZECZNIK PRAW DZIECKA;21978;14;total;22.0 MLN;RZECZNIK PRAW DZIECKA 22.0 MLN;RZECZNIK PRAW DZIECKA;RZECZNIK PRAW DZIECKA;0;RZECZNIK PRAW DZIECKA 0 zł
14;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;21978;14-751;14;22.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 22.0 MLN;RZECZNIK PRAW DZIECKA;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 0 zł
14;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;21978;14-751-75101;14-751;22.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 22.0 MLN;RZECZNIK PRAW DZIECKA;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 0 zł
15;;;SĄDY POWSZECHNE;12138007;15;total;12.1 MLD;SĄDY POWSZECHNE 12.1 MLD;SĄDY POWSZECHNE;SĄDY POWSZECHNE;321;SĄDY POWSZECHNE 321 zł
15;753;;Obowiązkowe ubezpieczenia społeczne;647158;15-753;15;647.2 MLN;Obowiązkowe ubezpieczenia społeczne 647.2 MLN;SĄDY POWSZECHNE;Obowiązkowe ubezpieczenia społeczne;17;Obowiązkowe ubezpieczenia społeczne 17 zł
15;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;647158;15-753-75312;15-753;647.2 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 647.2 MLN;SĄDY POWSZECHNE;Obowiązkowe ubezpieczenia społeczne;17;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 17 zł
15;755;;Wymiar sprawiedliwości;11490255;15-755;15;11.5 MLD;Wymiar sprawiedliwości 11.5 MLD;SĄDY POWSZECHNE;Wymiar sprawiedliwości;304;Wymiar sprawiedliwości 304 zł
15;755;75502;Jednostki sądownictwa powszechnego;11327209;15-755-75502;15-755;11.3 MLD;Jednostki sądownictwa powszechnego 11.3 MLD;SĄDY POWSZECHNE;Wymiar sprawiedliwości;299;Jednostki sądownictwa powszechnego 299 zł
15;755;75595;Pozostała działalność;163046;15-755-75595;15-755;163.0 MLN;Pozostała działalność 163.0 MLN;SĄDY POWSZECHNE;Wymiar sprawiedliwości;4;Pozostała działalność 4 zł
15;851;;Ochrona zdrowia;594;15-851;15;0.6 MLN;Ochrona zdrowia 0.6 MLN;SĄDY POWSZECHNE;Ochrona zdrowia;0;Ochrona zdrowia 0 zł
15;851;85195;Pozostała działalność;594;15-851-85195;15-851;0.6 MLN;Pozostała działalność 0.6 MLN;SĄDY POWSZECHNE;Ochrona zdrowia;0;Pozostała działalność 0 zł
15/01;;;MINISTERSTWO SPRAWIEDLIWOŚCI;806943;15/01;total;806.9 MLN;MINISTERSTWO SPRAWIEDLIWOŚCI 806.9 MLN;MINISTERSTWO SPRAWIEDLIWOŚCI;MINISTERSTWO SPRAWIEDLIWOŚCI;21;MINISTERSTWO SPRAWIEDLIWOŚCI 21 zł
15/01;753;;Obowiązkowe ubezpieczenia społeczne;46826;15/01-753;15/01;46.8 MLN;Obowiązkowe ubezpieczenia społeczne 46.8 MLN;MINISTERSTWO SPRAWIEDLIWOŚCI;Obowiązkowe ubezpieczenia społeczne;1;Obowiązkowe ubezpieczenia społeczne 1 zł
15/01;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;46826;15/01-753-75312;15/01-753;46.8 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 46.8 MLN;MINISTERSTWO SPRAWIEDLIWOŚCI;Obowiązkowe ubezpieczenia społeczne;1;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 1 zł
15/01;755;;Wymiar sprawiedliwości;760117;15/01-755;15/01;760.1 MLN;Wymiar sprawiedliwości 760.1 MLN;MINISTERSTWO SPRAWIEDLIWOŚCI;Wymiar sprawiedliwości;20;Wymiar sprawiedliwości 20 zł
15/01;755;75502;Jednostki sądownictwa powszechnego;760117;15/01-755-75502;15/01-755;760.1 MLN;Jednostki sądownictwa powszechnego 760.1 MLN;MINISTERSTWO SPRAWIEDLIWOŚCI;Wymiar sprawiedliwości;20;Jednostki sądownictwa powszechnego 20 zł
15/02;;;SĄD APELACYJNY W WARSZAWIE;1322009;15/02;total;1.3 MLD;SĄD APELACYJNY W WARSZAWIE 1.3 MLD;SĄD APELACYJNY W WARSZAWIE;SĄD APELACYJNY W WARSZAWIE;35;SĄD APELACYJNY W WARSZAWIE 35 zł
