Część;Dział;Rozdział;Treść;Plan;id;parent;label;super_label;Treść_część;Treść_dział
85;600;60095;Pozostała działalność;5582;85-600-60095;85-600;5.6 MLN;Pozostała działalność 5.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Transport i łączność
85;630;;Turystyka;3666;85-630;85;3.7 MLN;Turystyka 3.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Turystyka
85;630;63095;Pozostała działalność;3666;85-630-63095;85-630;3.7 MLN;Pozostała działalność 3.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Turystyka
85;700;;Gospodarka mieszkaniowa;253277;85-700;85;253.3 MLN;Gospodarka mieszkaniowa 253.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka mieszkaniowa
85;700;70005;Gospodarka gruntami i nieruchomościami;253222;85-700-70005;85-700;253.2 MLN;Gospodarka gruntami i nieruchomościami 253.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka mieszkaniowa
85;700;70095;Pozostała działalność;55;85-700-70095;85-700;0.1 MLN;Pozostała działalność 0.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka mieszkaniowa
85;710;;Działalność usługowa;571988;85-710;85;572.0 MLN;Działalność usługowa 572.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;710;71004;Plany zagospodarowania przestrzennego;346;85-710-71004;85-710;0.3 MLN;Plany zagospodarowania przestrzennego 0.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;710;71005;Prace geologiczne (nieinwestycyjne);1159;85-710-71005;85-710;1.2 MLN;Prace geologiczne (nieinwestycyjne) 1.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;710;71012;Zadania z zakresu geodezji i kartografii;128648;85-710-71012;85-710;128.6 MLN;Zadania z zakresu geodezji i kartografii 128.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;710;71015;Nadzór budowlany;418954;85-710-71015;85-710;419.0 MLN;Nadzór budowlany 419.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;710;71035;Cmentarze;17641;85-710-71035;85-710;17.6 MLN;Cmentarze 17.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;710;71095;Pozostała działalność;5240;85-710-71095;85-710;5.2 MLN;Pozostała działalność 5.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Działalność usługowa
85;750;;Administracja publiczna;2123902;85-750;85;2.1 MLD;Administracja publiczna 2.1 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;750;75011;Urzędy wojewódzkie;1968308;85-750-75011;85-750;2.0 MLD;Urzędy wojewódzkie 2.0 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;750;75018;Urzędy marszałkowskie;844;85-750-75018;85-750;0.8 MLN;Urzędy marszałkowskie 0.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;750;75046;Komisje egzaminacyjne;583;85-750-75046;85-750;0.6 MLN;Komisje egzaminacyjne 0.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;750;75081;System powiadamiania ratunkowego;150011;85-750-75081;85-750;150.0 MLN;System powiadamiania ratunkowego 150.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;750;75084;Funkcjonowanie wojewódzkich rad dialogu społecznego;3495;85-750-75084;85-750;3.5 MLN;Funkcjonowanie wojewódzkich rad dialogu społecznego 3.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;750;75095;Pozostała działalność;661;85-750-75095;85-750;0.7 MLN;Pozostała działalność 0.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Administracja publiczna
85;752;;Obrona narodowa;42124;85-752;85;42.1 MLN;Obrona narodowa 42.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Obrona narodowa
85;752;75212;Pozostałe wydatki obronne;3922;85-752-75212;85-752;3.9 MLN;Pozostałe wydatki obronne 3.9 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Obrona narodowa
85;752;75224;Kwalifikacja wojskowa;38202;85-752-75224;85-752;38.2 MLN;Kwalifikacja wojskowa 38.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Obrona narodowa
85;754;;Bezpieczeństwo publiczne i ochrona przeciwpożarowa;3882519;85-754;85;3.9 MLD;Bezpieczeństwo publiczne i ochrona przeciwpożarowa 3.9 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
85;754;75410;Komendy wojewódzkie Państwowej Straży Pożarnej;336045;85-754-75410;85-754;336.0 MLN;Komendy wojewódzkie Państwowej Straży Pożarnej 336.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
85;754;75411;Komendy powiatowe Państwowej Straży Pożarnej;3520201;85-754-75411;85-754;3.5 MLD;Komendy powiatowe Państwowej Straży Pożarnej 3.5 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
85;754;75415;Zadania ratownictwa górskiego i wodnego;4122;85-754-75415;85-754;4.1 MLN;Zadania ratownictwa górskiego i wodnego 4.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
85;754;75421;Zarządzanie kryzysowe;21508;85-754-75421;85-754;21.5 MLN;Zarządzanie kryzysowe 21.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
85;754;75495;Pozostała działalność;643;85-754-75495;85-754;0.6 MLN;Pozostała działalność 0.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Bezpieczeństwo publiczne i ochrona przeciwpożarowa
85;755;;Wymiar sprawiedliwości;98548;85-755;85;98.5 MLN;Wymiar sprawiedliwości 98.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Wymiar sprawiedliwości
85;755;75515;Nieodpłatna pomoc prawna;98548;85-755-75515;85-755;98.5 MLN;Nieodpłatna pomoc prawna 98.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Wymiar sprawiedliwości
85;758;;Różne rozliczenia;244209;85-758;85;244.2 MLN;Różne rozliczenia 244.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Różne rozliczenia
85;758;75814;Różne rozliczenia finansowe;58475;85-758-75814;85-758;58.5 MLN;Różne rozliczenia finansowe 58.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Różne rozliczenia
85;758;75818;Rezerwy ogólne i celowe;182492;85-758-75818;85-758;182.5 MLN;Rezerwy ogólne i celowe 182.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Różne rozliczenia
85;758;75860;Euroregiony;3242;85-758-75860;85-758;3.2 MLN;Euroregiony 3.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Różne rozliczenia
85;801;;Oświata i wychowanie;324651;85-801;85;324.7 MLN;Oświata i wychowanie 324.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Oświata i wychowanie
85;801;80136;Kuratoria oświaty;233749;85-801-80136;85-801;233.7 MLN;Kuratoria oświaty 233.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Oświata i wychowanie
85;801;80146;Dokształcanie i doskonalenie nauczycieli;76150;85-801-80146;85-801;76.2 MLN;Dokształcanie i doskonalenie nauczycieli 76.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Oświata i wychowanie
85;801;80195;Pozostała działalność;14752;85-801-80195;85-801;14.8 MLN;Pozostała działalność 14.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Oświata i wychowanie
85;851;;Ochrona zdrowia;3693566;85-851;85;3.7 MLD;Ochrona zdrowia 3.7 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85111;Szpitale ogólne;96747;85-851-85111;85-851;96.7 MLN;Szpitale ogólne 96.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85120;Lecznictwo psychiatryczne;60;85-851-85120;85-851;0.1 MLN;Lecznictwo psychiatryczne 0.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85132;Inspekcja Sanitarna;2705191;85-851-85132;85-851;2.7 MLD;Inspekcja Sanitarna 2.7 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85133;Inspekcja Farmaceutyczna;39257;85-851-85133;85-851;39.3 MLN;Inspekcja Farmaceutyczna 39.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85141;Ratownictwo medyczne;590;85-851-85141;85-851;0.6 MLN;Ratownictwo medyczne 0.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85144;System Wspomagania Dowodzenia Państwowego Ratownictwa Medycznego;1410;85-851-85144;85-851;1.4 MLN;System Wspomagania Dowodzenia Państwowego Ratownictwa Medycznego 1.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85146;Działalność dyspozytorni medycznych;222447;85-851-85146;85-851;222.4 MLN;Działalność dyspozytorni medycznych 222.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85147;Centra zdrowia publicznego;20;85-851-85147;85-851;0.0 MLN;Centra zdrowia publicznego 0.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85152;Zapobieganie i zwalczanie AIDS;186;85-851-85152;85-851;0.2 MLN;Zapobieganie i zwalczanie AIDS 0.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85157;Staże i specjalizacje medyczne;606436;85-851-85157;85-851;606.4 MLN;Staże i specjalizacje medyczne 606.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;851;85195;Pozostała działalność;21222;85-851-85195;85-851;21.2 MLN;Pozostała działalność 21.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ochrona zdrowia
85;852;;Pomoc społeczna;4434561;85-852;85;4.4 MLD;Pomoc społeczna 4.4 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85202;Domy pomocy społecznej;838222;85-852-85202;85-852;838.2 MLN;Domy pomocy społecznej 838.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85203;Ośrodki wsparcia;810247;85-852-85203;85-852;810.2 MLN;Ośrodki wsparcia 810.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85205;Zadania w zakresie przeciwdziałania przemocy w rodzinie;24196;85-852-85205;85-852;24.2 MLN;Zadania w zakresie przeciwdziałania przemocy w rodzinie 24.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85213;Składki na ubezpieczenie zdrowotne opłacane za osoby pobierające niektóre świadczenia z pomocy społecznej oraz za osoby uczestniczące w zajęciach w centrum integracji społecznej;94278;85-852-85213;85-852;94.3 MLN;Składki na ubezpieczenie zdrowotne opłacane za osoby pobierające niektóre świadczenia z pomocy społecznej oraz za osoby uczestniczące w zajęciach w centrum integracji społecznej 94.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85214;Zasiłki okresowe, celowe i pomoc w naturze oraz składki na ubezpieczenia emerytalne i rentowe;598934;85-852-85214;85-852;598.9 MLN;Zasiłki okresowe, celowe i pomoc w naturze oraz składki na ubezpieczenia emerytalne i rentowe 598.9 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85216;Zasiłki stałe;1040331;85-852-85216;85-852;1.0 MLD;Zasiłki stałe 1.0 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85219;Ośrodki pomocy społecznej;479372;85-852-85219;85-852;479.4 MLN;Ośrodki pomocy społecznej 479.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85228;Usługi opiekuńcze i specjalistyczne usługi opiekuńcze;187355;85-852-85228;85-852;187.4 MLN;Usługi opiekuńcze i specjalistyczne usługi opiekuńcze 187.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85230;Pomoc w zakresie dożywiania;350000;85-852-85230;85-852;350.0 MLN;Pomoc w zakresie dożywiania 350.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85231;Pomoc dla cudzoziemców;2819;85-852-85231;85-852;2.8 MLN;Pomoc dla cudzoziemców 2.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;852;85295;Pozostała działalność;8807;85-852-85295;85-852;8.8 MLN;Pozostała działalność 8.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pomoc społeczna
85;853;;Pozostałe zadania w zakresie polityki społecznej;211678;85-853;85;211.7 MLN;Pozostałe zadania w zakresie polityki społecznej 211.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pozostałe zadania w zakresie polityki społecznej
85;853;85321;Zespoły do spraw orzekania o niepełnosprawności;211106;85-853-85321;85-853;211.1 MLN;Zespoły do spraw orzekania o niepełnosprawności 211.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pozostałe zadania w zakresie polityki społecznej
85;853;85332;Wojewódzkie urzędy pracy;14;85-853-85332;85-853;0.0 MLN;Wojewódzkie urzędy pracy 0.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pozostałe zadania w zakresie polityki społecznej
85;853;85395;Pozostała działalność;558;85-853-85395;85-853;0.6 MLN;Pozostała działalność 0.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Pozostałe zadania w zakresie polityki społecznej
85;854;;Edukacyjna opieka wychowawcza;27808;85-854;85;27.8 MLN;Edukacyjna opieka wychowawcza 27.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Edukacyjna opieka wychowawcza
85;854;85412;Kolonie i obozy oraz inne formy wypoczynku dzieci i młodzieży szkolnej, a także szkolenia młodzieży;27808;85-854-85412;85-854;27.8 MLN;Kolonie i obozy oraz inne formy wypoczynku dzieci i młodzieży szkolnej, a także szkolenia młodzieży 27.8 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Edukacyjna opieka wychowawcza
85;855;;Rodzina;15000597;85-855;85;15.0 MLD;Rodzina 15.0 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85502;Świadczenia rodzinne, świadczenie z funduszu alimentacyjnego oraz składki na ubezpieczenia emerytalne i rentowe z ubezpieczenia społecznego;14692582;85-855-85502;85-855;14.7 MLD;Świadczenia rodzinne, świadczenie z funduszu alimentacyjnego oraz składki na ubezpieczenia emerytalne i rentowe z ubezpieczenia społecznego 14.7 MLD;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85503;Karta Dużej Rodziny;1200;85-855-85503;85-855;1.2 MLN;Karta Dużej Rodziny 1.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85508;Rodziny zastępcze;336;85-855-85508;85-855;0.3 MLN;Rodziny zastępcze 0.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85509;Działalność ośrodków adopcyjnych;45238;85-855-85509;85-855;45.2 MLN;Działalność ośrodków adopcyjnych 45.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85510;Działalność placówek opiekuńczo-wychowawczych;151;85-855-85510;85-855;0.2 MLN;Działalność placówek opiekuńczo-wychowawczych 0.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85513;Składki na ubezpieczenie zdrowotne opłacane za osoby pobierające niektóre świadczenia rodzinne oraz za osoby pobierające zasiłki dla opiekunów;195000;85-855-85513;85-855;195.0 MLN;Składki na ubezpieczenie zdrowotne opłacane za osoby pobierające niektóre świadczenia rodzinne oraz za osoby pobierające zasiłki dla opiekunów 195.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85515;Koordynacja systemów zabezpieczenia społecznego w obszarze świadczeń rodzinnych oraz świadczenia wychowawczego;63373;85-855-85515;85-855;63.4 MLN;Koordynacja systemów zabezpieczenia społecznego w obszarze świadczeń rodzinnych oraz świadczenia wychowawczego 63.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;855;85516;System opieki nad dziećmi w wieku do lat 3;2717;85-855-85516;85-855;2.7 MLN;System opieki nad dziećmi w wieku do lat 3 2.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Rodzina
85;900;;Gospodarka komunalna i ochrona środowiska;213683;85-900;85;213.7 MLN;Gospodarka komunalna i ochrona środowiska 213.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;900;90002;Gospodarka odpadami komunalnymi;70;85-900-90002;85-900;0.1 MLN;Gospodarka odpadami komunalnymi 0.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;900;90005;Ochrona powietrza atmosferycznego i klimatu;1023;85-900-90005;85-900;1.0 MLN;Ochrona powietrza atmosferycznego i klimatu 1.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;900;90007;Zmniejszenie hałasu i wibracji;503;85-900-90007;85-900;0.5 MLN;Zmniejszenie hałasu i wibracji 0.5 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;900;90014;Inspekcja Ochrony Środowiska;208305;85-900-90014;85-900;208.3 MLN;Inspekcja Ochrony Środowiska 208.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;900;90026;Pozostałe działania związane z gospodarką odpadami;48;85-900-90026;85-900;0.0 MLN;Pozostałe działania związane z gospodarką odpadami 0.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;900;90095;Pozostała działalność;3734;85-900-90095;85-900;3.7 MLN;Pozostała działalność 3.7 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Gospodarka komunalna i ochrona środowiska
85;921;;Kultura i ochrona dziedzictwa narodowego;175105;85-921;85;175.1 MLN;Kultura i ochrona dziedzictwa narodowego 175.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Kultura i ochrona dziedzictwa narodowego
85;921;92120;Ochrona zabytków i opieka nad zabytkami;66406;85-921-92120;85-921;66.4 MLN;Ochrona zabytków i opieka nad zabytkami 66.4 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Kultura i ochrona dziedzictwa narodowego
85;921;92121;Wojewódzkie Urzędy Ochrony Zabytków;108618;85-921-92121;85-921;108.6 MLN;Wojewódzkie Urzędy Ochrony Zabytków 108.6 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Kultura i ochrona dziedzictwa narodowego
85;921;92195;Pozostała działalność;81;85-921-92195;85-921;0.1 MLN;Pozostała działalność 0.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Kultura i ochrona dziedzictwa narodowego
85;925;;Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody;21303;85-925;85;21.3 MLN;Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody 21.3 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody
85;925;92502;Parki krajobrazowe;21189;85-925-92502;85-925;21.2 MLN;Parki krajobrazowe 21.2 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody
85;925;92503;Rezerwaty i pomniki przyrody;104;85-925-92503;85-925;0.1 MLN;Rezerwaty i pomniki przyrody 0.1 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody
85;925;92595;Pozostała działalność;10;85-925-92595;85-925;0.0 MLN;Pozostała działalność 0.0 MLN;BUDŻETY WOJEWODÓW OGÓŁEM;Ogrody botaniczne i zoologiczne oraz naturalne obszary i obiekty chronionej przyrody
85/02;;;WOJEWÓDZTWO DOLNOŚLĄSKIE;2462421;85/02;total;2.5 MLD;WOJEWÓDZTWO DOLNOŚLĄSKIE 2.5 MLD;WOJEWÓDZTWO DOLNOŚLĄSKIE;WOJEWÓDZTWO DOLNOŚLĄSKIE
